"GU_ID"	"GU_Name"	"GU_Type"	"AreaKm"	"RelatedGWB"	"dom_section_n"	"dom_well_n"	"avgmax_dom"	"avgmaxsd_dom"	"avgmin_dom"	"avgminsd_dom"	"maxdomestic"	"mindomestic"	"pub_section_n"	"pub_well_n"	"avgmax_pub"	"avgmaxsd_pub"	"maxpublic"	"percent_max"	"comparison"	"public_shallow"	"use_public_as_dom"
"1-30"	"PEPPERWOOD TOWN AREA"	"Groundwater Basin"	25.4617972441	"1-30"	11	44	163.272727272727	84.5104619666594	92.1818181818182	86.5815432777889	416.804113172705	-167.562811651549	1	1	180	NA	630	40.7327185945286	"different"	"deeper"	"no"
"1-31"	"WEOTT TOWN AREA"	"Groundwater Basin"	14.7916287266	"1-31"	4	4	153.25	71.3366432253906	153.25	71.3366432253906	367.259929676172	-60.7599296761718	3	3	80	18.0277563773199	134.08326913196	93.0207734336696	"different"	"shallower"	"yes"
"1-32"	"GARBERVILLE TOWN AREA"	"Groundwater Basin"	8.55097820117	"1-32"	5	10	212.4	150.129277624319	90	24.4948974278318	662.787832872958	16.5153077165047	1	1	400	NA	850	24.7506177745367	"different"	"deeper"	"no"
"1-33"	"LARABEE VALLEY"	"Groundwater Basin"	3.91454659961	"1-33"	6	33	253.333333333333	76.8548415304245	165.333333333333	65.8078009560164	483.897857924607	-32.0900695347157	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-34"	"DINSMORES TOWN AREA"	"Groundwater Basin"	9.21819695508	"1-34"	11	38	142	97.8304656024901	59.2727272727273	63.7527896002848	435.49139680747	-131.985641528127	1	1	60	NA	510	15.7608209750219	"different"	"deeper"	"no"
"1-35"	"HYAMPOM VALLEY"	"Groundwater Basin"	5.48303904296	"1-35"	7	69	244.285714285714	62.1012997333504	59.8571428571429	45.3594112668605	430.589613485766	-76.2210909434386	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-36"	"HETTENSHAW VALLEY"	"Groundwater Basin"	3.42777385937	"1-36"	5	11	176	79.2464510246358	116.6	69.4823718650997	413.739353073907	-91.8471155952991	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-37"	"COTTONEVA CREEK VALLEY"	"Groundwater Basin"	3.08988512695	"1-37"	1	2	104	NA	104	NA	554	-346	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-38"	"LOWER LAYTONVILLE VALLEY"	"Groundwater Basin"	8.71340523047	"1-38"	8	117	244.875	58.5062572966101	35.75	13.5514891116385	420.39377188983	-4.90446733491554	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-39"	"BRANSCOMB TOWN AREA"	"Groundwater Basin"	5.5932549668	"1-39"	7	22	235.571428571429	83.8964781598074	105.428571428571	90.3804129644197	487.260863050851	-165.712667464688	1	1	222	NA	672	31.8718836868118	"different"	"deeper"	"no"
"1-4"	"SHASTA VALLEY"	"Groundwater Basin"	792.891026065	"1-4"	263	2121	281.460076045627	155.461800747313	127.733840304183	110.601743578137	747.845478287566	-204.071390430229	14	23	184.214285714286	94.8692854335971	468.822142015077	45.8668138473321	"different"	"shallower"	"yes"
"1-40"	"TEN MILE RIVER VALLEY"	"Groundwater Basin"	6.0383056875	"1-40"	8	58	195.875	122.281218625639	108.125	61.8510595821007	562.718655876918	-77.4281787463021	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-41"	"LITTLE VALLEY"	"Groundwater Basin"	3.28785937305	"1-41"	4	32	157	78.7993231781424	98.5	52.348193219378	393.397969534427	-58.544579658134	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-42"	"SHERWOOD VALLEY"	"Groundwater Basin"	4.6567818125	"1-42"	4	12	200.5	71.747241526533	122.5	105.922927955503	415.741724579599	-195.268783866509	1	1	262	NA	712	52.5400929952894	"different"	"deeper"	"no"
"1-43"	"WILLIAMS VALLEY"	"Groundwater Basin"	6.65077483594	"1-43"	6	11	230.833333333333	138.397133881691	158.333333333333	120.516665514221	646.024734978406	-203.21666320933	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-44"	"EDEN VALLEY"	"Groundwater Basin"	5.57421152539	"1-44"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1-45"	"BIG RIVER VALLEY"	"Groundwater Basin"	6.82187425196	"1-45"	16	370	214.5	83.7575867210448	69	56.554398591091	465.772760163134	-100.663195773273	5	18	177.4	98.8068823513828	473.820647054148	1.71305733505492	"same"	"deeper"	"yes"
"1-46"	"NAVARRO RIVER VALLEY"	"Groundwater Basin"	3.11790491016	"1-46"	5	53	234	83.1715095450359	91.4	77.6131432168547	483.514528635108	-141.439429650564	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-48"	"GRAVELLY VALLEY"	"Groundwater Basin"	12.0444737891	"1-48"	4	15	209.75	144.315337600224	115.25	76.5043571743902	642.696012800672	-114.263071523171	1	1	148	NA	598	7.20499015706165	"same"	"shallower"	"yes"
"1-49"	"ANNAPOLIS OHLSON RANCH FM HIGHLANDS"	"Groundwater Basin"	35.0174391758	"1-49"	25	107	246.2	81.3848880321156	154.16	87.1061038810331	490.354664096347	-107.158311643099	3	5	275	26.0576284415908	353.172885324772	32.5257376278267	"different"	"shallower"	"yes"
"1-5"	"SCOTT RIVER VALLEY"	"Groundwater Basin"	258.315271862	"1-5"	151	994	206.403973509934	102.890309152219	85.6490066225166	69.4806638497836	515.074900966592	-122.792984926834	6	8	194	115.576814283835	540.730442851504	4.85989998727114	"same"	"deeper"	"yes"
"1-50"	"KNIGHTS VALLEY"	"Groundwater Basin"	16.5494660078	"1-50"	11	75	418.363636363636	113.513235111394	180.272727272727	145.825985962099	758.903341697817	-257.205230613569	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-51"	"POTTER VALLEY"	"Groundwater Basin"	33.3584687812	"1-51"	23	272	256.086956521739	101.564987275715	62.7826086956522	56.0348564586358	560.781918348885	-105.321960680255	2	4	162.5	38.8908729652601	612.5	8.81596841173447	"same"	"deeper"	"yes"
"1-52"	"UKIAH VALLEY"	"Groundwater Basin"	151.90818209	"1-52"	86	1034	297.093023255814	139.475878404241	83.953488372093	78.537650315628	715.520658468538	-151.659462574791	23	70	277.521739130435	204.517807529902	891.07516172014	21.8542213350194	"different"	"deeper"	"no"
"1-53"	"SANEL VALLEY"	"Groundwater Basin"	22.5508429297	"1-53"	19	67	190.263157894737	80.9992058296206	94.7894736842105	58.1450092893892	433.260775383599	-79.6455541839571	1	4	96	NA	546	23.0253733122802	"different"	"deeper"	"no"
"1-54"	"ALEXANDER VALLEY"	"Groundwater Basin"	125.510946667	"1-54"	85	1330	404.858823529412	190.690234532916	76.6941176470588	71.0486123870752	976.92952712816	-136.451719514167	22	42	206.954545454545	167.30197313974	708.860464873765	31.8033756904743	"different"	"shallower"	"yes"
"1-55"	"SANTA ROSA VALLEY"	"Groundwater Basin"	409.095761469	"1-55"	224	9927	496.428571428571	288.601427773232	68.4821428571429	62.272219135864	1362.23285474827	-118.334514550449	103	224	448.572815533981	306.959108279459	1369.45014037236	0.528413116527814	"same"	"deeper"	"yes"
"1-56"	"McDOWELL VALLEY"	"Groundwater Basin"	6.02013858593	"1-56"	4	24	195.75	96.9480101222643	48.75	14.2214626533279	486.594030366793	6.08561204001632	1	2	400	NA	850	54.377913020228	"different"	"deeper"	"no"
"1-57"	"BODEGA BAY AREA"	"Groundwater Basin"	10.8362974004	"1-57"	4	20	130.25	99.5535869100992	35.5	20.7284024147223	428.910760730297	-26.685207244167	4	11	121	65.0025640519921	316.007692155976	30.3128666330831	"different"	"shallower"	"yes"
"1-59"	"WILSON GROVE FORMATION HIGHLANDS"	"Groundwater Basin"	349.932065255	"1-59"	186	7137	414.677419354839	267.595970611215	99.9354838709677	100.938172829158	1217.46533118848	-202.879034616506	35	67	336.885714285714	164.732362517218	831.082801837369	37.7225726964394	"different"	"shallower"	"yes"
"1-6"	"HAYFORK VALLEY"	"Groundwater Basin"	13.3448426504	"1-6"	16	121	298.3125	96.5289032708166	86.125	62.9400508420513	587.89920981245	-102.695152526154	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-60"	"LOWER RUSSIAN RIVER VALLEY"	"Groundwater Basin"	26.8916018066	"1-60"	40	357	239.1	160.130043306154	58.1	57.1048518303314	719.490129918462	-113.214555490994	17	36	159.176470588235	91.0042823814611	432.189317732619	49.8924961753569	"different"	"shallower"	"yes"
"1-61"	"FORT ROSS TERRACE DEPOSITS"	"Groundwater Basin"	34.3535350547	"1-61"	40	358	214.925	118.088273696483	92.35	90.7545435748931	569.189821089448	-179.913630724679	11	23	265.636363636364	134.820082129683	670.096610025413	16.2846596884289	"different"	"deeper"	"no"
"1-62"	"WILSON POINT AREA"	"Groundwater Basin"	2.87329908496	"1-62"	3	29	273.333333333333	46.1880215351701	90.6666666666667	112.224477425085	411.897397938843	-246.006765608587	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"1-7"	"HOOPA VALLEY"	"Groundwater Basin"	15.7713659492	"1-7"	8	32	77.875	21.1487081672346	40.625	11.5627171794275	141.321124501704	5.9368484617174	2	2	64.5	7.77817459305202	514.5	113.805079329166	"different"	"deeper"	"no"
"1-8"	"MAD RIVER VALLEY"	"Groundwater Basin"	160.154509932	"1-8"	73	736	161.904109589041	80.3423515656527	61.5342465753425	48.5887167376968	402.931164285999	-84.2319036377479	7	16	164.142857142857	71.9199290216293	379.902644207745	5.88337392391459	"same"	"shallower"	"yes"
"1-9"	"EUREKA PLAIN"	"Groundwater Basin"	151.45819634	"1-9"	52	238	182.519230769231	109.700392403648	97.2884615384615	76.4869171277309	511.620407980174	-132.172289844731	10	18	357.6	79.1148251312961	594.944475393888	15.0599515068014	"different"	"deeper"	"no"
"2-1"	"PETALUMA VALLEY"	"Groundwater Basin"	186.473173395	"2-1"	96	1903	409.6875	191.909864396366	142.979166666667	105.486440053154	985.417093189098	-173.480153492796	26	48	460.615384615385	203.432362602036	1070.91247242149	8.3153382280926	"same"	"deeper"	"yes"
"2-10"	"LIVERMORE VALLEY"	"Groundwater Basin"	281.528159294	"2-10"	104	649	361.086538461538	170.580682192961	185.403846153846	95.9950968843731	872.828585040422	-102.581444499273	21	55	485.095238095238	249.273525421755	1232.9158143605	34.2004689099518	"different"	"deeper"	"no"
"2-11"	"SUNOL VALLEY"	"Groundwater Basin"	67.3074925029	"2-11"	16	146	337.875	179.689686218584	167.625	108.445301112281	876.944058655753	-157.710903336844	1	1	68	NA	518	51.4635775432675	"different"	"shallower"	"yes"
"2-19"	"KENWOOD VALLEY"	"Groundwater Basin"	20.7972159131	"2-19"	18	395	668.055555555556	194.342170114896	148.388888888889	103.924825143205	1251.08206590024	-163.385586540726	7	13	531.142857142857	234.451436742188	1234.49716736942	1.33448962791717	"same"	"shallower"	"yes"
"2-2"	"NAPA-SONOMA VALLEY"	"Groundwater Basin"	530.427065524	"2-2"	254	4194	553.066929133858	448.764980095922	148.905511811024	113.287903764967	1899.36186942162	-190.958199483876	83	136	506.253012048193	212.121274756285	1142.61683631705	49.7534734005192	"different"	"shallower"	"yes"
"2-22"	"HALF MOON BAY TERRACE"	"Groundwater Basin"	37.2168380898	"2-22"	36	996	314.972222222222	204.230050413898	93.5555555555556	89.8310937082778	927.662373463917	-175.937725569278	10	33	250.3	232.274765453905	947.124296361716	2.07617466147316	"same"	"deeper"	"yes"
"2-24"	"SAN GREGORIO VALLEY"	"Groundwater Basin"	4.34823977442	"2-24"	6	25	189.666666666667	91.9666606258304	77.1666666666667	69.0750799251558	465.566648544158	-130.058573108801	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"2-26"	"PESCADERO VALLEY"	"Groundwater Basin"	11.760890751	"2-26"	15	126	227.8	120.24570084385	77.8666666666667	45.3854392425379	588.537102531549	-58.2896510609469	3	4	251.666666666667	115.578256317239	598.401435618383	1.66214724179561	"same"	"deeper"	"yes"
"2-27"	"SAND POINT AREA"	"Groundwater Basin"	5.69092214258	"2-27"	5	15	381	125.618469979538	227.8	211.480968410871	757.855409938613	-406.642905232614	1	1	270	NA	720	5.12301943532964	"same"	"shallower"	"yes"
"2-28"	"ROSS VALLEY"	"Groundwater Basin"	7.14190447754	"2-28"	7	48	287.142857142857	132.699445579636	102	125.471112213131	685.241193881766	-274.413336639392	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"2-29"	"SAN RAFAEL VALLEY"	"Groundwater Basin"	3.54026916211	"2-29"	4	21	228.25	97.7526640728187	159	122.204746225341	521.507992218456	-207.614238676023	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"2-3"	"SUISUN-FAIRFIELD VALLEY"	"Groundwater Basin"	540.604210809	"2-3"	120	395	213.741666666667	137.144436885451	125.85	82.8600774617957	625.17497732302	-122.730232385387	10	12	227.5	103.868774047941	539.106322143823	14.7848557249197	"different"	"shallower"	"yes"
"2-30"	"NOVATO VALLEY"	"Groundwater Basin"	83.1023440117	"2-30"	38	172	251.315789473684	192.933696111659	158.447368421053	163.821870527588	830.11687780866	-333.018243161712	3	6	251.333333333333	305.78641783659	1168.6925868431	33.8777372252867	"different"	"deeper"	"no"
"2-31"	"ARROYO DEL HAMBRE VALLEY"	"Groundwater Basin"	3.1819335752	"2-31"	1	1	70	NA	70	NA	520	-380	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"2-32"	"VISITACION VALLEY"	"Groundwater Basin"	23.5976111865	"2-32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2-33"	"ISLAIS VALLEY"	"Groundwater Basin"	24.0437172881	"2-33"	2	3	407	326.683332908185	405.5	328.804653251745	857	-44.5	1	7	825	NA	1275	39.2120075046904	"different"	"deeper"	"no"
"2-35"	"WESTSIDE"	"Groundwater Basin"	102.80668296	"2-35"	8	17	280.25	190.228997338922	246.375	189.171077145983	850.936992016765	-321.138231437949	11	53	625.090909090909	139.101728634445	1042.39609499425	20.2245557626351	"different"	"deeper"	"no"
"2-36"	"SAN PEDRO VALLEY"	"Groundwater Basin"	2.84182569727	"2-36"	1	1	65	NA	65	NA	515	-385	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"2-37"	"SOUTH SAN FRANCISCO"	"Groundwater Basin"	8.80807204883	"2-37"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2-38"	"LOBOS"	"Groundwater Basin"	9.55369839941	"2-38"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2-39"	"MARINA"	"Groundwater Basin"	8.85341781152	"2-39"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2-4"	"PITTSBURG PLAIN"	"Groundwater Basin"	46.9968314932	"2-4"	13	29	172.769230769231	96.5929205878583	134.538461538462	88.7013861077486	462.547992532806	-131.565696784784	4	5	509.5	501.507394428703	2014.02218328611	125.292164615548	"different"	"deeper"	"no"
"2-40"	"DOWNTOWN"	"Groundwater Basin"	30.9183633232	"2-40"	1	2	176	NA	173	NA	626	-277	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"2-5"	"CLAYTON VALLEY"	"Groundwater Basin"	72.2224544053	"2-5"	17	47	299.058823529412	179.908473462284	177.529411764706	156.334224358847	838.784243916264	-291.473261311836	4	8	294	95.222546349766	579.667639049298	36.5351279065216	"different"	"shallower"	"yes"
"2-6"	"YGNACIO VALLEY"	"Groundwater Basin"	62.6011840137	"2-6"	21	53	223.52380952381	126.217914357519	152.238095238095	119.477991597576	602.177552596365	-206.195879554633	4	8	294	95.222546349766	579.667639049298	3.80928292574822	"same"	"shallower"	"yes"
"2-7"	"SAN RAMON VALLEY"	"Groundwater Basin"	28.560335126	"2-7"	22	92	307.909090909091	166.042424037011	159.181818181818	121.256766669755	806.036363020124	-204.588481827448	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"2-8"	"CASTRO VALLEY"	"Groundwater Basin"	7.37191234277	"2-8"	9	25	151.555555555556	91.7211959024618	94.1111111111111	53.2410660215506	426.719143262941	-65.6120869535407	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"2-9"	"SANTA CLARA VALLEY"	"Groundwater Basin"	1470.48662721	"2-9"	350	1390	313.46	249.029226602031	174.197142857143	137.049960533952	1060.54767980609	-236.952738744713	146	303	544.22602739726	247.667763290007	1287.22931726728	19.3103210180319	"different"	"deeper"	"no"
"3-1"	"SOQUEL VALLEY"	"Groundwater Basin"	10.1827328965	"3-1"	11	187	519.090909090909	275.833447770735	104.363636363636	41.6323737667521	1346.59125240311	-20.5334849366198	6	10	581.833333333333	308.403901834375	1507.04503883646	11.2455667126131	"different"	"deeper"	"no"
"3-12"	"SANTA MARIA"	"Groundwater Basin"	745.257567265	"3-12"	213	995	428.276995305164	235.283436631637	275.159624413146	200.761787087521	1134.12730520007	-327.125736849419	45	80	547.644444444444	305.644710225597	1464.57857512123	25.4319869303795	"different"	"deeper"	"no"
"3-13"	"CUYAMA VALLEY"	"Groundwater Basin"	978.245601827	"3-13"	92	135	428.347826086957	230.813727036822	389.554347826087	235.455572633534	1120.78900719742	-316.812370074515	3	3	645	317.293239764102	1596.87971929231	35.0366994662977	"different"	"deeper"	"no"
"3-14"	"SAN ANTONIO CREEK VALLEY"	"Groundwater Basin"	331.408364866	"3-14"	50	111	550.84	256.413358880236	416.02	278.431429289738	1320.08007664071	-419.274287869215	4	6	489.25	342.688755773126	1517.31626731938	13.9026182294569	"different"	"deeper"	"no"
"3-15"	"SANTA YNEZ RIVER VALLEY"	"Groundwater Basin"	827.526184802	"3-15"	201	971	473.980099502488	292.04364331721	264.44776119403	233.513208421842	1350.11102945412	-436.091864071497	33	50	455.212121212121	335.798186934481	1462.60668201557	7.99907165249552	"same"	"deeper"	"yes"
"3-16"	"GOLETA"	"Groundwater Basin"	37.3008156296	"3-16"	27	255	585.888888888889	213.187770852424	210.925925925926	125.02582069499	1225.45220144616	-164.151536159045	12	34	610.416666666667	325.372362444053	1586.53375399883	25.6816042664427	"different"	"deeper"	"no"
"3-17"	"SANTA BARBARA"	"Groundwater Basin"	24.9462183142	"3-17"	15	52	407.866666666667	201.486570508404	287.133333333333	118.700022064426	1012.32637819188	-68.9667328599449	9	17	549.222222222222	141.126519281262	972.601780066009	4.00262326478712	"same"	"shallower"	"yes"
"3-18"	"CARPINTERIA"	"Groundwater Basin"	32.8856981809	"3-18"	17	71	672.470588235294	236.954931803249	305.647058823529	151.711873784021	1383.33538364504	-149.488562528535	4	5	984.75	180.318930416822	1525.70679125047	9.78819824848629	"same"	"deeper"	"yes"
"3-19"	"CARRIZO PLAIN"	"Groundwater Basin"	852.379842583	"3-19"	30	48	257.166666666667	137.929538066595	248.1	142.544451627046	670.955280866453	-179.533354881137	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"3-2"	"PAJARO VALLEY"	"Groundwater Basin"	356.556344339	"3-2"	193	2258	522.621761658031	392.903808922274	159.264248704663	115.434449366749	1701.33318842485	-187.039099395583	39	53	488.641025641026	157.328768604154	960.627331453487	55.6511527079461	"different"	"shallower"	"yes"
"3-20"	"ANO NUEVO AREA"	"Groundwater Basin"	8.2217245957	"3-20"	4	5	128.75	99.362551631219	122.5	105.316981853197	426.837654893657	-193.450945559592	1	2	200	NA	650	41.447723172047	"different"	"deeper"	"no"
"3-21"	"SANTA CRUZ PURISIMA FORMATION"	"Groundwater Basin"	162.641141534	"3-21"	97	1689	588.79381443299	231.565997528437	117.360824742268	82.1032360262333	1283.4918070183	-128.948883336432	16	25	581.0625	373.014113897406	1700.10484169222	27.9269005650594	"different"	"deeper"	"no"
"3-22"	"SANTA ANA VALLEY"	"Groundwater Basin"	11.0248300664	"3-22"	8	9	277	177.479978750119	268.375	183.336488068095	809.439936250358	-281.634464204286	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"3-23"	"UPPER SANTA ANA VALLEY"	"Groundwater Basin"	5.79073701318	"3-23"	1	1	90	NA	90	NA	540	-360	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"3-24"	"QUIEN SABE VALLEY"	"Groundwater Basin"	19.0485436294	"3-24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3-25"	"TRES PINOS VALLEY"	"Groundwater Basin"	13.7037594009	"3-25"	9	18	265	132.570735835629	212.222222222222	137.366096415544	662.712207506886	-199.876067024409	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"3-26"	"WEST SANTA CRUZ TERRACE"	"Groundwater Basin"	31.8382373682	"3-26"	16	40	371.1875	209.441549125287	219.8125	147.003047020575	999.512147375861	-221.196641061724	4	8	284.75	144.649864615676	718.699593847027	32.6866062885792	"different"	"shallower"	"yes"
"3-27"	"SCOTTS VALLEY"	"Groundwater Basin"	3.13053965625	"3-27"	4	85	480	283.196045170126	81	16.1864140562386	1329.58813551038	32.4407578312841	3	14	450.666666666667	134.797378807354	855.058803088729	43.4421987404462	"different"	"shallower"	"yes"
"3-28"	"SAN BENITO RIVER VALLEY"	"Groundwater Basin"	98.0427587085	"3-28"	20	28	177.25	150.842851303844	128.8	94.196100042188	629.778553911533	-153.788300126564	1	1	340	NA	790	22.5699205903698	"different"	"deeper"	"no"
"3-29"	"DRY LAKE VALLEY"	"Groundwater Basin"	5.73125875587	"3-29"	4	7	407.5	155.214904782584	325	101.159939369957	873.144714347752	21.5201818901296	NA	NA	NA	NA	NA	NA	NA	NA	"yes"
"3-3"	"GILROY-HOLLISTER VALLEY"	"Groundwater Basin"	744.511044612	"3-3"	276	3234	391.460144927536	186.891806927715	176.449275362319	131.096692834717	952.13556571068	-216.840803141834	68	98	388.794117647059	176.420169999895	918.054627646744	3.64464942496065	"same"	"shallower"	"yes"
